id,url,created_date,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,DVD_release_date,list_of_genres,abridged_list_of_cast,abridged_list_of_directors
6f5e9160-975f-42b8-bd9a-9269adc8dae1,https://www.rottentomatoes.com/m/hellbender,2022-06-21 17:21:18.330890,97%,58%,1h 26m,,,,"Feb 24, 2022",Horror,"Zelda Adams, Toby Poser, Lulu Adams, John Adams, Rinzin Thonden, Khenzom","John Adams , Zelda Adams , Toby Poser"
e3569562-c17d-4a48-b387-1821e7d53831,https://www.rottentomatoes.com/m/dont_look_up_2021,2022-06-21 17:21:18.381707,55%,78%,2h 18m,R (Graphic Nudity|Drug Content|Language Throughout|Some Sexual Content),Netflix,"Dec 10, 2021 limited","Dec 24, 2021",Comedy,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Jonah Hill, Cate Blanchett",Adam McKay
06b45d46-9cfc-4d4b-9c76-60d54f2482f3,https://www.rottentomatoes.com/m/sex_and_the_city_2,2022-06-21 17:21:18.431686,16%,43%,2h 27m,R (Some Strong Sexual Content|Language),Warner Bros.,"May 27, 2010 wide","Aug 17, 2010","Comedy, Romance","Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, John Corbett",Michael Patrick King
5c375b06-cb60-480b-902e-3c7247d8d625,https://www.rottentomatoes.com/m/when-sports-were-king,2022-06-21 17:21:18.476269,,,27m,,,,"Sep 14, 2018",Documentary,"Michael Braccia Sr., Raymond Francis Goffio, Vincent Cusato, Joey Hodges, Mike Brennan Sr., Criag Hofferimer","Jason Cusato , Ricardo Pantoja"
2badf804-89be-4352-8c9c-5b6750defe10,https://www.rottentomatoes.com/m/midsommar,2022-06-21 17:21:18.496142,83%,63%,2h 25m,R (Drug Use|Disturbing Ritual Violence|Strong Sexual Content|Graphic Nudity|Grisly Images|Language),A24,"Aug 30, 2019 wide","Sep 24, 2019",Horror,"Florence Pugh, Jack Reynor, William Jackson Harper, Will Poulter, Vilhelm Blomgren, Isabelle Grill",Ari Aster
8e13fbfe-68e3-4cd0-9126-9d965b5b0456,https://www.rottentomatoes.com/m/hereditary,2022-06-21 17:21:18.522572,89%,68%,2h 7m,R (Disturbing Images|Brief Graphic Nudity|Drug Use|Horror Violence|Language),A24,"Jun 8, 2018 wide","Sep 4, 2018",Horror,"Toni Collette, Gabriel Byrne, Alex Wolff, Ann Dowd, Milly Shapiro, Mallory Bechtel",Ari Aster
de3e6ac3-c659-4655-83e6-e7506f01a4bb,https://www.rottentomatoes.com/m/the_janes,2022-06-21 17:21:18.570243,100%,89%,1h 41m,,,,"Jun 8, 2022","Documentary, History","Tia Lessin, Emma Pildes, Emma Pildes, Jessica Levin, Daniel Arcana, Susan Lacy","Tia Lessin , Emma Pildes"
95bfd750-7f6c-4e5c-98f4-1bb7a22ae661,https://www.rottentomatoes.com/m/nobody_2021,2022-06-21 17:21:18.588074,84%,94%,1h 32m,R (Brief Drug Use|Bloody Images|Language Throughout|Strong Violence),Universal Pictures,"Mar 26, 2021 wide","Apr 15, 2021","Action, Comedy","Bob Odenkirk, Connie Nielsen, Alexey Serebryakov, Christopher Lloyd, RZA, Michael Ironside",Ilya Naishuller
06795f17-7923-46a3-ac3a-4048500e27ea,https://www.rottentomatoes.com/m/the_stepmother_2022,2022-06-21 17:21:18.725999,,,,,,,"Jun 17, 2022",Drama,"Marques Houston, Erica Mena, Justin Sweat, Chris Stokes, Marques Houston, Chris Stokes",Chris Stokes
fe9e5bd9-9565-4deb-b6db-42613dffadfd,https://www.rottentomatoes.com/m/captain_marvel,2022-06-21 17:21:18.744040,79%,45%,2h 4m,PG-13 (Brief Suggestive Language|Action|Sequences of Sci-Fi Violence),Walt Disney,"Mar 8, 2019 wide","May 28, 2019","Action, Adventure, Fantasy","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch","Anna Boden , Ryan Fleck"
a8271fa5-da43-438d-bfe2-81b430709a4c,https://www.rottentomatoes.com/m/shang_chi_and_the_legend_of_the_ten_rings,2022-06-21 17:21:18.809389,91%,98%,2h 13m,PG-13 (Sequences of Violence & Action|Language),,"Sep 3, 2021 wide","Nov 12, 2021","Action, Adventure, Fantasy","Simu Liu, Awkwafina, Meng'er Zhang, Fala Chen, Florian Munteanu, Benedict Wong",Destin Daniel Cretton
9bb9f2e3-132d-4a2a-8832-be1775a0703d,https://www.rottentomatoes.com/m/deep_water_2022,2022-06-21 17:21:18.955938,37%,23%,1h 56m,R (Some Violence|Language|Sexual Content|Nudity),,,"Mar 18, 2022",Drama,"Ben Affleck, Ana de Armas, Tracy Letts, Lil Rel Howery, Dash Mihok, Finn Wittrock",Adrian Lyne
