id,created_date,year,category,name of actor,name of film
83ae21bd-6024-482a-8b50-48def0834cee,2022-06-21 15:14:27.357332,1931,Directing,The Divorcee,Robert Leonard
1854574b-0901-4211-9d2b-0aecbee7ee2e,2022-06-21 15:14:27.357837,1931,Directing,The Love Parade,Ernst Lubitsch
5812b115-81e2-4daf-98bc-e92e88836725,2022-06-21 15:14:27.358339,1931,Directing,Hallelujah,King Vidor
e7466a36-bb35-4031-b34e-39c3f05d8761,2022-06-21 15:14:27.359259,1931,Outstanding Production,All Quiet on the Western Front,Universal
224c6499-63dd-4891-9334-b683d09be46e,2022-06-21 15:14:27.359858,1931,Outstanding Production,The Big House,Cosmopolitan
a6d9e1f5-607b-4bc7-af94-3a6b6af9f29b,2022-06-21 15:14:27.360404,1931,Outstanding Production,Disraeli,Warner Bros.
94909584-8196-4e67-bc82-265c0ca2bbfe,2022-06-21 15:14:27.361082,1931,Outstanding Production,The Divorcee,Metro-Goldwyn-Mayer
4ddd9e90-5330-4768-b2f5-2d0dc416a664,2022-06-21 15:14:27.361617,1931,Outstanding Production,The Love Parade,Paramount Famous Lasky
e2c9359d-1666-4ef0-a235-79a2c54495aa,2022-06-21 15:14:27.363055,1931,Sound Recording,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
c295207f-7fb0-4324-a269-dad2f1e01b6a,2022-06-21 15:14:27.363879,1931,Sound Recording,The Case of Sergeant Grischa,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
7ab683ad-4c14-4289-8665-0e5be296f148,2022-06-21 15:14:27.364574,1931,Sound Recording,The Love Parade,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
5c05e0f7-bb2d-497e-a4a2-adb429d12d0c,2022-06-21 15:14:27.366131,1931,Sound Recording,Raffles,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
120a0cfe-544a-48f8-8ad8-70bfaa7b0ea8,2022-06-21 15:14:27.367011,1931,Sound Recording,Song of the Flame,"(First National Studio Sound Department, George Groves, Sound Director)"
94b0f45a-e2bd-44ee-8afd-c4fe025ae7ae,2022-06-21 15:14:27.368366,1931,Writing,The Big House,Frances Marion
08d6ea3a-b560-4bd9-a144-15cb682265e4,2022-06-21 15:14:27.369204,1931,Writing,All Quiet on the Western Front,"(George Abbott), (Maxwell Anderson), (Del Andrews)"
5afcfa3a-ae14-42e3-bc36-65e4b31cefcc,2022-06-21 15:14:27.370116,1931,Writing,Disraeli,(Julian Josephson)
b1fd0da4-a1db-409e-bb78-3f777736b8a1,2022-06-21 15:14:27.372367,1931,Writing,The Divorcee,(John Meehan)
f07217ff-19da-48fa-9f45-36d5284a4533,2022-06-21 15:14:27.372939,1931,Writing,Street of Chance,(Howard Estabrook)
4d42d377-0f6f-40ce-96a4-ae597e9cb6f8,2022-06-21 15:14:29.038337,1932,Actor,Lionel Barrymore,A Free Soul
0d79cd9e-04c3-436a-9dbe-6407322ee9b9,2022-06-21 15:14:29.038951,1932,Actor,Jackie Cooper,Skippy
3fef8b67-84b9-43e5-a28e-09c42044743d,2022-06-21 15:14:29.039967,1932,Actor,Richard Dix,Cimarron
ae9a398c-34f3-421c-8a3d-082a20c89717,2022-06-21 15:14:29.040772,1932,Actor,Fredric March,The Royal Family of Broadway
d6a2799b-e2dc-468a-ac37-de7390c34910,2022-06-21 15:14:29.041487,1932,Actor,Adolphe Menjou,The Front Page
dc34bbb1-b861-42f7-a897-bbfbd6c0d5a9,2022-06-21 15:14:29.042677,1932,Actress,Marie Dressler,Min and Bill
6ed54b50-4ca3-45ca-a7b3-7ff018dfc0c7,2022-06-21 15:14:29.043347,1932,Actress,Marlene Dietrich,Morocco
f4a89313-ed64-48e9-8364-d4ac6dbba568,2022-06-21 15:14:29.044035,1932,Actress,Irene Dunne,Cimarron
f972b05b-6f78-4ce9-9cd8-e71432b559d2,2022-06-21 15:14:29.044723,1932,Actress,Ann Harding,Holiday
a9a58056-9ee9-4e2c-90af-23596c720ad1,2022-06-21 15:14:29.045429,1932,Actress,Norma Shearer,A Free Soul
63337d2c-c968-42b7-988d-a24162a362d9,2022-06-21 15:14:29.046871,1932,Art Direction,Cimarron,Cimarron
776b1fc0-561a-4555-8481-bb81cb85f4f9,2022-06-21 15:14:29.047709,1932,Art Direction,Just Imagine,"Stephen Goosson, Ralph Hammeras"
f3392bba-cc2b-4a76-babc-686563f00366,2022-06-21 15:14:29.048492,1932,Art Direction,Morocco,Hans Dreier
419ec6f3-7794-4e2c-8030-b809eec511fc,2022-06-21 15:14:29.049371,1932,Art Direction,Svengali,Anton Grot
57a76eff-d585-4e57-9a19-d8903c74edfa,2022-06-21 15:14:29.050152,1932,Art Direction,Whoopee!,Richard Day
b3bc4e7b-30d7-4468-8ae6-11b2be2fee16,2022-06-21 15:14:29.051042,1932,Cinematography,Tabu,Floyd Crosby
b9f76f5b-13cf-4993-8c86-ebb0740f9e0c,2022-06-21 15:14:29.051650,1932,Cinematography,Cimarron,Edward Cronjager
c6d49edd-641f-4470-9945-63d4b7940781,2022-06-21 15:14:29.052172,1932,Cinematography,Morocco,Lee Garmes
881a8a7e-e930-47ec-9af6-a3d6a9962377,2022-06-21 15:14:29.052635,1932,Cinematography,The Right to Love,Charles Lang
cfa2cae1-4985-4a11-84f4-eecc9b3eccff,2022-06-21 15:14:29.053086,1932,Cinematography,Svengali,"Barney ""Chick"" McGill"
b95ebccf-5d53-4502-a62d-8d7d6aaffc3a,2022-06-21 15:14:29.053941,1932,Directing,Skippy,Norman Taurog
7626bc9d-d0ea-47a0-add3-9f8c34418317,2022-06-21 15:14:29.054548,1932,Directing,Cimarron,Wesley Ruggles
939b71ac-26f7-40ca-8b0a-886f10f4395c,2022-06-21 15:14:29.055015,1932,Directing,A Free Soul,Clarence Brown
fe920f1b-b93b-4838-bb59-57fe10c7bdea,2022-06-21 15:14:29.055472,1932,Directing,The Front Page,Lewis Milestone
476282c1-e119-4020-b801-71b201677fa4,2022-06-21 15:14:29.055942,1932,Directing,Morocco,Josef Von Sternberg
8bbb7003-177b-44bf-8212-c49823322d72,2022-06-21 15:14:29.056800,1932,Outstanding Production,Cimarron,RKO Radio
3bbd2d03-d3c1-40d3-b078-3d0e04f669e2,2022-06-21 15:14:29.057297,1932,Outstanding Production,East Lynne,Fox
27fe067a-3aab-465d-aaa0-96af184eb951,2022-06-21 15:14:29.057843,1932,Outstanding Production,The Front Page,The Caddo Company
e00c6eae-a5ac-4e27-973e-aee5c8f913f8,2022-06-21 15:14:29.058508,1932,Outstanding Production,Skippy,Paramount Publix
1b4f137c-c630-4cfc-9abe-14d3d7de01ff,2022-06-21 15:14:29.059097,1932,Outstanding Production,Trader Horn,Metro-Goldwyn-Mayer
566fbf73-b6cf-4651-b8c8-363a45c1f0be,2022-06-21 15:14:29.060474,1932,Writing (Adaptation),Cimarron,Howard Estabrook
f9b45391-e955-4a6f-9ff1-dd79831ab268,2022-06-21 15:14:29.061599,1932,Writing (Adaptation),The Criminal Code,"Seton I. Miller, Fred Niblo, Jr."
48c1ee36-d4a3-4a06-b8d6-a58358b4d241,2022-06-21 15:14:29.062497,1932,Writing (Adaptation),Holiday,Horace Jackson
c35a2448-3a71-49bc-aed9-7da52b7cff0a,2022-06-21 15:14:29.063531,1932,Writing (Adaptation),Little Caesar,"Francis Faragoh, Robert N. Lee"
f073611a-bf06-4c3f-9191-f759f695db99,2022-06-21 15:14:29.064370,1932,Writing (Adaptation),Skippy,"Joseph L. Mankiewicz, Sam Mintz"
16b1c83a-e169-4304-82f6-f01ffb98f229,2022-06-21 15:14:29.066278,1932,Writing (Original Story),The Dawn Patrol,John Monk Saunders
809a7467-5ef3-45b6-ba4c-d71bf0b11b67,2022-06-21 15:14:29.068488,1932,Writing (Original Story),The Doorway to Hell,Rowland Brown
7e1f895c-f54c-4554-955e-aa93a801acac,2022-06-21 15:14:29.069041,1932,Writing (Original Story),Laughter,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
46bca80b-12d8-452e-9e9a-12e1d6a1db93,2022-06-21 15:14:29.069556,1932,Writing (Original Story),The Public Enemy,"John Bright, Kubec Glasmon"
ff6a112b-381c-4178-bf2b-069bb7c05cfc,2022-06-21 15:14:29.070120,1932,Writing (Original Story),Smart Money,"Lucien Hubbard, Joseph Jackson"
eea1a43f-9e28-4feb-b613-7e43152d0a96,2022-06-21 15:14:30.577538,1933,Actor,Wallace Beery,The Champ
94176dec-0fb5-4d57-868a-fa452ef22be5,2022-06-21 15:14:30.578539,1933,Actor,Fredric March,Dr. Jekyll and Mr. Hyde
75d6f7de-51c8-43c2-be14-e5affbb9ff23,2022-06-21 15:14:30.579236,1933,Actor,Alfred Lunt,The Guardsman
669d1f71-70d5-42b4-893d-b9dd46202fae,2022-06-21 15:14:30.580144,1933,Actress,Helen Hayes,The Sin of Madelon Claudet
a2a6e759-bb64-4015-8343-c65b8c5fe816,2022-06-21 15:14:30.580776,1933,Actress,Marie Dressler,Emma
df2236a1-be01-4ce5-8dcf-c3d19cffe9ee,2022-06-21 15:14:30.581537,1933,Actress,Lynn Fontanne,The Guardsman
4f5ef9fd-35a1-4317-8987-adbde86cf5e3,2022-06-21 15:14:30.582481,1933,Art Direction,Transatlantic,Gordon Wiles
2fe7b361-f150-40bb-b758-4268fd1ce48c,2022-06-21 15:14:30.583187,1933,Art Direction,Arrowsmith,Lazare Meerson
f6343aa4-365d-4131-b5e6-9bf1f8b3cd63,2022-06-21 15:14:30.584197,1933,Cinematography,Shanghai Express,Lee Garmes
d0184df7-ce13-4c37-85fb-f8165701080d,2022-06-21 15:14:30.584819,1933,Cinematography,Arrowsmith,Ray June
