year,actor,character,film,win
1964,Sophia Loren,Filumena Marturano,Marriage Italian Style,False
1964,Melina Mercouri,Elizabeth Lipp,Topkapi,False
1964,Debbie Reynolds,Molly Brown,The Unsinkable Molly Brown,False
1965,Julie Andrews,Maria von Trapp,The Sound of Music,True
1965,Jane Fonda,Cat Ballou,Cat Ballou,False
1965,Barbara Harris,Dr. Sandra Markowitz,A Thousand Clowns,False
1965,Rita Tushingham,Nancy Jones,The Knack ...and How to Get It,False
1965,Natalie Wood,Daisy Clover,Inside Daisy Clover,False
1966,Lynn Redgrave,Georgy,Georgy Girl,True
1966,Jane Fonda,Ellen Gordon,Any Wednesday,False
1966,Elizabeth Hartman,Barbara Darling,You're a Big Boy Now,False
1966,Shirley MacLaine,Nicole Chang,Gambit,False
1966,Vanessa Redgrave,Leonie Delt,Morgan!,False
1967,Anne Bancroft,Mrs. Robinson,The Graduate,True
1967,Julie Andrews,Millie Dillmount,Thoroughly Modern Millie,False
1967,Audrey Hepburn,"Joanna ""Jo"" Wallace",Two for the Road,False
1967,Shirley MacLaine,Paulette / Maria Teresa / Linda / Edith / Eve Minou / Marie / Jeanne,Woman Times Seven,False
1967,Vanessa Redgrave,Guenevere,Camelot,False
1968,Barbra Streisand,Fanny Brice,Funny Girl,True
1968,Julie Andrews,Gertrude Lawrence,Star!,False
1968,Lucille Ball,Helen North,"Yours, Mine and Ours",False
1968,Petula Clark,Sharon McLongeran,Finian's Rainbow,False
1968,Gina Lollobrigida,Carla Campbell,"Buona Sera, Mrs. Campbell",False
1969,Patty Duke,Natalie Miller,"Me, Natalie",True
1969,Ingrid Bergman,Stephanie Dickinson,Cactus Flower,False
1969,Dyan Cannon,Alice Henderson,Bob & Carol & Ted & Alice,False
1969,Kim Darby,Doris Bolton Owen,Generation,False
1969,Mia Farrow,Mary,John and Mary,False
1969,Shirley MacLaine,Charity Hope Valentine,Sweet Charity,False
1969,Anna Magnani,Rose Bombolini,The Secret of Santa Vittoria,False
1969,Barbra Streisand,Dolly Levi,"Hello, Dolly!",False
1970,Carrie Snodgress,Tina Balser,Diary of a Mad Housewife,True
1970,Julie Andrews,Lili Smith,Darling Lili,False
1970,Sandy Dennis,Gwen Kellerman,The Out-of-Towners,False
1970,Angela Lansbury,Countess Erthe Van Orstein,Something for Everyone,False
1970,Barbra Streisand,Doris,The Owl and the Pussycat,False
1971,Twiggy,Polly Browne,The Boy Friend,True
1971,Sandy Duncan,Amy Cooper,Star Spangled Girl,False
1971,Ruth Gordon,Maude Chardin,Harold and Maude,False
1971,Angela Lansbury,Eglantine Price,Bedknobs and Broomsticks,False
1971,Elaine May,Henrietta Lowell,A New Leaf,False
1972,Liza Minnelli,Sally Bowles,Cabaret,True
1972,Carol Burnett,Tillie Schlaine,Pete 'n' Tillie,False
1972,Goldie Hawn,Jill Tanner,Butterflies Are Free,False
1972,Juliet Mills,Pamela Piggott,Avanti!,False
1972,Maggie Smith,Augusta Bertram,Travels with My Aunt,False
1973,Glenda Jackson,Vicky Allesio,A Touch of Class,True
1973,Yvonne Elliman,Mary Magdalene,Jesus Christ Superstar,False
1973,Cloris Leachman,Nettie Appleby,Charley and the Angel,False
1973,Tatum O'Neal,Addie Loggins,Paper Moon,False
1973,Liv Ullmann,Ann Stanley,40 Carats,False
1974,Raquel Welch,Constance Bonacieux,The Three Musketeers,True
1974,Lucille Ball,Mame Dennis,Mame,False
1974,Diahann Carroll,Claudine Price,Claudine,False
1974,Helen Hayes,Mrs. Steinmetz,Herbie Rides Again,False
1974,Cloris Leachman,Frau Blücher,Young Frankenstein,False
1975,Ann-Margret,Nora Walker,Tommy,True
1975,Julie Christie,Jackie Shawn,Shampoo,False
1975,Goldie Hawn,Jill Haynes,Shampoo,False
1975,Liza Minnelli,Claire,Lucky Lady,False
1975,Barbra Streisand,Fanny Brice,Funny Lady,False
1976,Barbra Streisand,Esther Hoffman,A Star Is Born,True
1976,Jodie Foster,Annabelle Andrews,Freaky Friday,False
1976,Barbara Harris,Blanche Tyler,Family Plot,False
1976,Ellen Andrew,Freaky Friday,Family Plot,False
1976,Goldie Hawn,"Amanda ""Duchess"" Quaid",The Duchess and the Dirtwater Fox,False
1976,Rita Moreno,Googie Gomez,The Ritz,False
1977,Diane Keaton,Annie Hall,Annie Hall,True
1977,Marsha Mason,Paula McFadden,The Goodbye Girl,False
1977,Sally Field,"Carrie (""Frog"")",Smokey and the Bandit,False
1977,Liza Minnelli,Francine Evans,"New York, New York",False
1977,Lily Tomlin,Margo Sperling,The Late Show,False
1978,Ellen Burstyn,Doris,"Same Time, Next Year",True
1978,Maggie Smith,Diana Barrie,California Suite,False
1978,Jacqueline Bisset,Natasha O'Brien,Who Is Killing the Great Chefs of Europe?,False
1978,Goldie Hawn,Gloria Mundy,Foul Play,False
1978,Olivia Newton-John,Sandy Olsson,Grease,False
1979,Bette Midler,Mary Rose Foster,The Rose,True
1979,Julie Andrews,Samantha Taylor,10,False
1979,Jill Clayburgh,Marilyn Holmberg,Starting Over,False
1979,Shirley MacLaine,Eve Rand,Being There,False
1979,Marsha Mason,Jennie MacLaine,Chapter Two,False
1980,Sissy Spacek,Loretta Lynn,Coal Miner's Daughter,True
1980,Irene Cara,Coco Hernandez,Fame,False
1980,Goldie Hawn,Judy Benjamin,Private Benjamin,False
1980,Bette Midler,Herself / The Divine Miss M,Divine Madness,False
1980,Dolly Parton,Doralee Rhodes,9 to 5,False
1981,Bernadette Peters,Eileen Everson,Pennies from Heaven,True
1981,Blair Brown,Dr. Nell Porter,Continental Divide,False
1981,Carol Burnett,Kate Burroughs,The Four Seasons,False
1981,Jill Clayburgh,Ruth Loomis,First Monday in October,False
1981,Liza Minnelli,Linda Marolla,Arthur,False
1982,Julie Andrews,Victoria Grant / Victor Grezhinski,Victor/Victoria,True
1982,Carol Burnett,Miss Hannigan,Annie,False
1982,Sally Field,Kay,Kiss Me Goodbye,False
1982,Goldie Hawn,Paula McCullen,Best Friends,False
1982,Dolly Parton,Mona Stangley,The Best Little Whorehouse in Texas,False
1982,Aileen Quinn,Annie,Annie,False
1983,Julie Walters,"Susan ""Rita"" White",Educating Rita,True
1983,Anne Bancroft,Anna Bronski,To Be or Not to Be,False
1983,Jennifer Beals,Alex Owens,Flashdance,False
1983,Linda Ronstadt,Mabel,The Pirates of Penzance,False
1983,Barbra Streisand,Yentl Mendel,Yentl,False
1984,Kathleen Turner,Joan Wilder,Romancing the Stone,True
1984,Anne Bancroft,Estelle Rolfe,Garbo Talks,False
1984,Mia Farrow,Tina Vitale,Broadway Danny Rose,False
1984,Shelley Long,Lucy Brodsky,Irreconcilable Differences,False
1984,Lily Tomlin,Edwina Cutwater,All of Me,False
1985,Kathleen Turner,Irene Walker,Prizzi's Honor,True
1985,Rosanna Arquette,Roberta Glass,Desperately Seeking Susan,False
1985,Glenn Close,Jan / Maxie,Maxie,False
1985,Mia Farrow,Cecelia,The Purple Rose of Cairo,False
1985,Sally Field,Emma Moriarty,Murphy's Romance,False
1986,Sissy Spacek,Rebecca Magrath / Babe Botrelle,Crimes of the Heart,True
1986,Julie Andrews,Gillian Fairchild,That's Life!,False
1986,Melanie Griffith,Audrey Hankel,Something Wild,False
1986,Bette Midler,Barbara Whiteman,Down and Out in Beverly Hills,False
1986,Kathleen Turner,Peggy Sue,Peggy Sue Got Married,False
1987,Cher,Loretta Castorini,Moonstruck,True
1987,Jennifer Grey,"Frances ""Baby"" Houseman",Dirty Dancing,False
1987,Holly Hunter,Jane Craig,Broadcast News,False
1987,Diane Keaton,J.C. Wiatt,Baby Boom,False
1987,Bette Midler,Sandy Bronzinsky,Outrageous Fortune,False
1988,Melanie Griffith,Tess McGill,Working Girl,True
1988,Jamie Lee Curtis,Wanda Gershwitz,A Fish Called Wanda,False
1988,Amy Irving,Isabelle Grossman,Crossing Delancey,False
1988,Michelle Pfeiffer,Angela DeMarco,Married to the Mob,False
1988,Susan Sarandon,Annie Savoy,Bull Durham,False
1989,Jessica Tandy,Daisy Werthan,Driving Miss Daisy,True
1989,Pauline Collins,Shirley Valentine-Bradshaw,Shirley Valentine,False
1989,Meg Ryan,Sally Albright,When Harry Met Sally...,False
1989,Meryl Streep,Mary Fisher,She-Devil,False
1989,Kathleen Turner,Barbara Rose,The War of the Roses,False
1990,Julia Roberts,Vivian Ward,Pretty Woman,True
1990,Mia Farrow,Alice Smith Tate,Alice,False
1990,Andie MacDowell,Bronte Mitchell,Green Card,False
1990,Demi Moore,Molly Jensen,Ghost,False
1990,Meryl Streep,Suzanne Vale,Postcards from the Edge,False
1991,Bette Midler,Dixie Leonard,For the Boys,True
1991,Ellen Barkin,Amanda Brooks,Switch,False
1991,Kathy Bates,Evelyn Couch,Fried Green Tomatoes,False
1991,Anjelica Huston,Morticia Addams,The Addams Family,False
1991,Michelle Pfeiffer,Frankie,Frankie and Johnny,False
1992,Miranda Richardson,Rose Arbuthnot,Enchanted April,True
1992,Geena Davis,Dottie Hinson,A League of Their Own,False
1992,Whoopi Goldberg,Deloris van Cartier,Sister Act,False
1992,Shirley MacLaine,Pearl Berman,Used People,False
1992,Meryl Streep,Madeline Ashton,Death Becomes Her,False
1993,Angela Bassett,Tina Turner,What's Love Got to Do with It,True
1993,Stockard Channing,Ouisa Kittredge,Six Degrees of Separation,False
1993,Anjelica Huston,Morticia Addams,Addams Family Values,False
1993,Diane Keaton,Carol Lipton,Manhattan Murder Mystery,False
1993,Meg Ryan,Annie Reed,Sleepless in Seattle,False
1994,Jamie Lee Curtis,Helen Tasker,True Lies,True
1994,Geena Davis,Julia Mann,Speechless,False
1994,Andie MacDowell,Carrie,Four Weddings and a Funeral,False
1994,Shirley MacLaine,Tess Carlisle,Guarding Tess,False
1994,Emma Thompson,Dr. Diana Redding,Junior,False
1995,Nicole Kidman,Suzanne Stone-Maretto,To Die For,True
1995,Annette Bening,Sydney Ellen Wade,The American President,False
1995,Sandra Bullock,Lucy Eleanor Moderatz,While You Were Sleeping,False
1995,Toni Collette,Muriel Heslop,Muriel's Wedding,False
1995,Vanessa Redgrave,Miss Bentley,A Month by the Lake,False
1996,Madonna,Eva Perón,Evita,True
1996,Glenn Close,Cruella de Vil,101 Dalmatians,False
1996,Frances McDormand,Marge Gunderson,Fargo,False
1996,Debbie Reynolds,Beatrice Henderson,Mother,False
1996,Barbra Streisand,Rose Morgan,The Mirror Has Two Faces,False
1997,Helen Hunt,Carol Connelly,As Good as It Gets,True
1997,Joey Lauren Adams,Alyssa Jones,Chasing Amy,False
1997,Pam Grier,Jackie Brown,Jackie Brown,False
1997,Jennifer Lopez,Selena Quintanilla-Pérez,Selena,False
1997,Julia Roberts,Julianne Potter,My Best Friend's Wedding,False
1998,Gwyneth Paltrow,Viola de Lesseps,Shakespeare in Love,True
1998,Cameron Diaz,Mary Jensen,There's Something About Mary,False
1998,Jane Horrocks,Laura Hoff,Little Voice,False
1998,Christina Ricci,Deedee Truitt,The Opposite of Sex,False
1998,Meg Ryan,Kathleen Kelly,You've Got Mail,False
1999,Janet McTeer,Mary Jo Walker,Tumbleweeds,True
1999,Julianne Moore,Mrs. Laura Cheveley,An Ideal Husband,False
1999,Julia Roberts,Anna Scott,Notting Hill,False
1999,Sharon Stone,Sarah Little,The Muse,False
1999,Reese Witherspoon,Tracy Flick,Election,False
2000,Renée Zellweger,Betty Sizemore,Nurse Betty,True
2000,Juliette Binoche,Vianne Rocher,Chocolat,False
2000,Brenda Blethyn,Grace Trevethyn,Saving Grace,False
2000,Sandra Bullock,Gracie Hart,Miss Congeniality,False
2000,Tracey Ullman,Frenchy Jackson,Small Time Crooks,False
2001,Nicole Kidman,Satine,Moulin Rouge!,True
2001,Thora Birch,Enid,Ghost World,False
2001,Cate Blanchett,Kate Wheeler,Bandits,False
2001,Reese Witherspoon,Elle Woods,Legally Blonde,False
2001,Renée Zellweger,Bridget Jones,Bridget Jones's Diary,False
2002,Renée Zellweger,Roxie Hart,Chicago,True
2002,Maggie Gyllenhaal,Lee Holloway,Secretary,False
2002,Goldie Hawn,Suzette Crooks,The Banger Sisters,False
2002,Nia Vardalos,"Fotoula ""Toula"" Portokalos",My Big Fat Greek Wedding,False
2002,Catherine Zeta-Jones,Velma Kelly,Chicago,False
2003,Diane Keaton,Erica Barry,Something's Gotta Give,True
2003,Jamie Lee Curtis,Dr. Tess Coleman,Freaky Friday,False
2003,Scarlett Johansson,Charlotte Riley,Lost in Translation,False
2003,Diane Lane,Frances Mayes,Under the Tuscan Sun,False
2003,Helen Mirren,Chris Harper,Calendar Girls,False
2004,Annette Bening,Julia Lambert,Being Julia,True
2004,Ashley Judd,Linda Porter,De-Lovely,False
2004,Emmy Rossum,Christine Daaé,The Phantom of the Opera,False
2004,Kate Winslet,Clementine Kruczynski,Eternal Sunshine of the Spotless Mind,False
2004,Renée Zellweger,Bridget Jones,Bridget Jones: The Edge of Reason,False
2005,Reese Witherspoon,June Carter Cash,Walk the Line,True
2005,Judi Dench,Laura Henderson,Mrs Henderson Presents,False
2005,Keira Knightley,Elizabeth Bennet,Pride & Prejudice,False
2005,Laura Linney,Joan Berkman,The Squid and the Whale,False
2005,Sarah Jessica Parker,Meredith Morton,The Family Stone,False
2006,Meryl Streep,Miranda Priestly,The Devil Wears Prada,True
2006,Annette Bening,Deirdre Burroughs,Running with Scissors,False
2006,Toni Collette,Sheryl Hoover,Little Miss Sunshine,False
2006,Beyoncé Knowles,Deena Jones,Dreamgirls,False
2006,Renée Zellweger,Beatrix Potter,Miss Potter,False
2007,Marion Cotillard,Édith Piaf,La Vie en Rose,True
2007,Amy Adams,Giselle,Enchanted,False
2007,Nikki Blonsky,Tracy Turnblad,Hairspray,False
2007,Helena Bonham Carter,Mrs. Lovett,Sweeney Todd: The Demon Barber of Fleet Street,False
2007,Elliot Page,Juno MacGuff,Juno,False
2008,Sally Hawkins,"Pauline ""Poppy"" Cross",Happy-Go-Lucky,True
2008,Rebecca Hall,Vicky Marielle,Vicky Cristina Barcelona,False
2008,Frances McDormand,Linda Litzke,Burn After Reading,False
2008,Meryl Streep,Donna Sheridan,Mamma Mia!,False
2008,Emma Thompson,Kate Walker,Last Chance Harvey,False
2009,Meryl Streep,Julia Child,Julie & Julia,True
2009,Sandra Bullock,Margaret Tate,The Proposal,False
2009,Marion Cotillard,Luisa Acari Contini,Nine,False
2009,Julia Roberts,Claire Stenwick,Duplicity,False
2009,Meryl Streep,Jane Adler,It's Complicated,False
2010,Annette Bening,"Dr. Nicole ""Nic"" Allgood",The Kids Are All Right,True
2010,Anne Hathaway,Maggie Murdock,Love & Other Drugs,False
2010,Angelina Jolie,Elise Clifton-Ward,The Tourist,False
2010,Julianne Moore,Jules Allgood,The Kids Are All Right,False
2010,Emma Stone,Olive Penderghast,Easy A,False
2011,Michelle Williams,Marilyn Monroe,My Week with Marilyn,True
2011,Jodie Foster,Penelope Longstreet,Carnage,False
2011,Charlize Theron,Mavis Gary,Young Adult,False
2011,Kristen Wiig,Annie Walker,Bridesmaids,False
2011,Kate Winslet,Nancy Cowan,Carnage,False
2012,Jennifer Lawrence,Tiffany Maxwell,Silver Linings Playbook,True
2012,Emily Blunt,Harriet Chetwode-Talbot,Salmon Fishing in the Yemen,False
2012,Judi Dench,Evelyn Greenslade,The Best Exotic Marigold Hotel,False
2012,Maggie Smith,Jean Horton,Quartet,False
2012,Meryl Streep,Kay Soames,Hope Springs,False
2013,Amy Adams,Sydney Prosser / Lady Edith Greensly,American Hustle,True
2013,Julie Delpy,Céline Wallace,Before Midnight,False
2013,Greta Gerwig,Frances Halladay,Frances Ha,False
2013,Julia Louis-Dreyfus,Eva Henderson,Enough Said,False
2013,Meryl Streep,Violet Weston,August: Osage County,False
2014,Amy Adams,Margaret Keane,Big Eyes,True
2014,Emily Blunt,The Baker's Wife,Into the Woods,False
2014,Helen Mirren,Madame Mallory,The Hundred-Foot Journey,False
2014,Julianne Moore,Havana Segrand,Maps to the Stars,False
2014,Quvenzhané Wallis,Annie Bennett,Annie,False
2015,Jennifer Lawrence,Joy Mangano,Joy,True
2015,Melissa McCarthy,Susan Cooper,Spy,False
2015,Amy Schumer,Amy Townsend,Trainwreck,False
Maggie Smith,Mary Shepherd /,Margaret Fairchild,The Lady in the Van,True
Maggie Smith,Lily Tomlin,Elle Reid,Grandma,False
2016,Emma Stone,Mia Dolan,La La Land,True
2016,Annette Bening,Dorothea Fields,20th Century Women,False
2016,Lily Collins,Marla Mabrey,Rules Don't Apply,False
2016,Hailee Steinfeld,Nadine Franklin,The Edge of Seventeen,False
2016,Meryl Streep,Florence Foster Jenkins,Florence Foster Jenkins,False
2017,Saoirse Ronan,"Christine ""Lady Bird"" McPherson",Lady Bird,True
2017,Judi Dench,Queen Victoria,Victoria & Abdul,False
2017,Helen Mirren,Ella Spencer,The Leisure Seeker,False
2017,Margot Robbie,Tonya Harding,"I, Tonya",False
2017,Emma Stone,Billie Jean King,Battle of the Sexes,False
2018,Olivia Colman,Queen Anne,The Favourite,True
2018,Emily Blunt,Mary Poppins,Mary Poppins Returns,False
2018,Elsie Fisher,Kayla Day,Eighth Grade,False
2018,Charlize Theron,Marlo Moreau,Tully,False
2018,Constance Wu,Rachel Chu,Crazy Rich Asians,False
2019,Awkwafina,Billi Wang,The Farewell,True
2019,Ana de Armas,Marta Cabrera,Knives Out,False
2019,Cate Blanchett,Bernadette Fox,"Where'd You Go, Bernadette",False
2019,Beanie Feldstein,Molly Davidson,Booksmart,False
2019,Emma Thompson,Katherine Newbury,Late Night,False
2020,Rosamund Pike,Marla Grayson,I Care a Lot,True
2020,Maria Bakalova,Tutar Sagdiyev,Borat Subsequent Moviefilm,False
2020,Kate Hudson,Kazu Gamble,Music,False
2020,Michelle Pfeiffer,Frances Price,French Exit,False
2020,Anya Taylor-Joy,Emma Woodhouse,Emma,False
2021,Rachel Zegler,María Vasquez,West Side Story,True
2021,Marion Cotillard,Ann Defrasnoux,Annette,False
2021,Alana Haim,Alana Kane,Licorice Pizza,False
2021,Jennifer Lawrence,Kate Dibiasky,Don't Look Up,False
Emma Stone,Estella /,Cruella de Vil,Cruella,True
