year,nominees,film,win
2014,Alejandro González Iñárritu,Alejandro González Iñárritu,False
2014,David Fincher,David Fincher,False
2014,Wes Anderson,Wes Anderson,False
2014,Ava DuVernay,Ava DuVernay,False
2015,Alejandro González Iñárritu,The Revenant,True
2015,Todd Haynes,Todd Haynes,False
2015,George Miller,George Miller,False
2015,Ridley Scott,Ridley Scott,False
2015,Tom McCarthy,Tom McCarthy,False
2016,Damien Chazelle,La La Land,True
2016,Mel Gibson,Mel Gibson,False
2016,Barry Jenkins,Barry Jenkins,False
2016,Kenneth Lonergan,Kenneth Lonergan,False
2016,Tom Ford,Tom Ford,False
2017,Guillermo del Toro,The Shape of Water,True
2017,Ridley Scott,Ridley Scott,False
2017,Christopher Nolan,Christopher Nolan,False
2017,Steven Spielberg,Steven Spielberg,False
2017,Martin McDonagh,Martin McDonagh,False
2018,Alfonso Cuarón,Roma,True
2018,Spike Lee,Spike Lee,False
2018,Peter Farrelly,Peter Farrelly,False
2018,Bradley Cooper,Bradley Cooper,False
2018,Adam McKay,Adam McKay,False
2019,Sam Mendes,1917,True
2019,Martin Scorsese,Martin Scorsese,False
2019,Todd Phillips,Todd Phillips,False
2019,Quentin Tarantino,Quentin Tarantino,False
2019,Bong Joon-ho,Bong Joon-ho,False
2020,Chloé Zhao,Nomadland,True
2020,David Fincher,David Fincher,False
2020,Regina King,Regina King,False
2020,Emerald Fennell,Emerald Fennell,False
2020,Aaron Sorkin,Aaron Sorkin,False
2021,Jane Campion,The Power of the Dog,True
2021,Kenneth Branagh,Kenneth Branagh,False
2021,Denis Villeneuve,Denis Villeneuve,False
2021,Maggie Gyllenhaal,Maggie Gyllenhaal,False
2021,Steven Spielberg,Steven Spielberg,False
