year,actor,character,film,win
1962,Geraldine Page,Alexandra Del Lago,Sweet Bird of Youth,True
1962,Anne Bancroft,Anne Sullivan,The Miracle Worker,False
1962,Bette Davis,Jane Hudson,What Ever Happened to Baby Jane?,False
1962,Katharine Hepburn,Mary Tyrone,Long Day's Journey into Night,False
1962,Glynis Johns,Teresa Harnish,The Chapman Report,False
1962,Melina Mercouri,Phaedra,Phaedra,False
1962,Lee Remick,Kirsten Arnesen Clay,Days of Wine and Roses,False
1962,Susan Strasberg,Rosanna,Hemingway's Adventures of a Young Man,False
1962,Shelley Winters,Charlotte Haze-Humbert,Lolita,False
1962,Susannah York,Cecily Koertner,Freud: The Secret Passion,False
1963,Leslie Caron,Jane Fosset,The L-Shaped Room,True
1963,Polly Bergen,Lorna Medford,The Caretakers,False
1963,Geraldine Page,Carrie Berniers,Toys in the Attic,False
1963,Rachel Roberts,Margaret Hammond,This Sporting Life,False
1963,Romy Schneider,Annemarie von Hartman,The Cardinal,False
1963,Alida Valli,La Italiana,The Paper Man,False
1963,Marina Vlady,Regina,The Conjugal Bed,False
1963,Natalie Wood,Angie Rossini,Love with the Proper Stranger,False
1964,Anne Bancroft,Jo Armitage,The Pumpkin Eater,True
1964,Ava Gardner,Maxine Faulk,The Night of the Iguana,False
1964,Rita Hayworth,Lili Alfredo,Circus World,False
1964,Geraldine Page,Evie Jackson,Dear Heart,False
1964,Jean Seberg,Lilith Arthur,Lilith,False
1965,Samantha Eggar,Miranda Grey,The Collector,True
1965,Julie Christie,Diana Scott,Darling,False
1965,Elizabeth Hartman,Selina D'Arcey,A Patch of Blue,False
1965,Simone Signoret,La Condesa,Ship of Fools,False
1965,Maggie Smith,Desdemona,Othello,False
1966,Anouk Aimée,Anne Gauthier,A Man and a Woman,True
1966,Ida Kaminska,Rozalie Lautmann,The Shop on Main Street,False
1966,Virginia McKenna,Joy Adamson,Born Free,False
1966,Elizabeth Taylor,Martha,Who's Afraid of Virginia Woolf?,False
1966,Natalie Wood,Alva Starr,This Property Is Condemned,False
1967,Edith Evans,Maggie Ross,The Whisperers,True
1967,Faye Dunaway,Bonnie Parker,Bonnie and Clyde,False
1967,Audrey Hepburn,Susy Hendrix,Wait Until Dark,False
1967,Katharine Hepburn,Christina Drayton,Guess Who's Coming to Dinner,False
1967,Anne Heywood,Ellen March,The Fox,False
1968,Joanne Woodward,Rachel Cameron,"Rachel, Rachel",True
1968,Mia Farrow,Rosemary Woodhouse,Rosemary's Baby,False
1968,Katharine Hepburn,Eleanor of Aquitaine,The Lion in Winter,False
1968,Vanessa Redgrave,Isadora Duncan,Isadora,False
1968,Beryl Reid,"June ""George"" Buckridge",The Killing of Sister George,False
1969,Geneviève Bujold,Anne Boleyn,Anne of the Thousand Days,True
1969,Jane Fonda,Gloria Beatty,"They Shoot Horses, Don't They?",False
1969,Liza Minnelli,Pookie Adams,The Sterile Cuckoo,False
1969,Jean Simmons,Mary Wilson,The Happy Ending,False
1969,Maggie Smith,Jean Brodie,The Prime of Miss Jean Brodie,False
1970,Ali MacGraw,Jennifer Cavalleri,Love Story,True
1970,Faye Dunaway,Lou Andreas Sand,Puzzle of a Downfall Child,False
1970,Glenda Jackson,Gudrun Brangwen,Women in Love,False
1970,Melina Mercouri,Nina Kacew,Promise at Dawn,False
1970,Sarah Miles,Rosy Ryan,Ryan's Daughter,False
1971,Jane Fonda,Bree Daniels,Klute,True
1971,Dyan Cannon,Julie Messinger,Such Good Friends,False
1971,Glenda Jackson,Elizabeth I of England,"Mary, Queen of Scots",False
1971,Vanessa Redgrave,"Mary, Queen of Scots","Mary, Queen of Scots",False
1971,Jessica Walter,Evelyn Draper,Play Misty for Me,False
1972,Liv Ullmann,Kristina Nilsson,The Emigrants,True
1972,Diana Ross,Billie Holiday,Lady Sings the Blues,False
1972,Cicely Tyson,Rebecca Morgan,Sounder,False
1972,Trish Van Devere,Aimee Brower,One Is a Lonely Number,False
1972,Tuesday Weld,Maria Wyeth,Play It as It Lays,False
1972,Joanne Woodward,Beatrice Hunsdorfer,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,False
1973,Marsha Mason,Maggie Paul,Cinderella Liberty,True
1973,Ellen Burstyn,Chris MacNeil,The Exorcist,False
1973,Barbra Streisand,Kate Morosky,The Way We Were,False
1973,Elizabeth Taylor,Barbara Sawyer,Ash Wednesday,False
1973,Joanne Woodward,Rita Walden,"Summer Wishes, Winter Dreams",False
1974,Gena Rowlands,Mabel Longhetti,A Woman Under the Influence,True
1974,Ellen Burstyn,Alice Hyatt,Alice Doesn't Live Here Anymore,False
1974,Faye Dunaway,Evelyn Cross Mulwray,Chinatown,False
1974,Valerie Perrine,Honey Bruce,Lenny,False
1974,Liv Ullmann,Marianne,Scenes from a Marriage,False
1975,Louise Fletcher,Nurse Ratched,One Flew Over the Cuckoo's Nest,True
1975,Karen Black,Faye Greener,The Day of the Locust,False
1975,Faye Dunaway,Kathy Hale,Three Days of the Condor,False
1975,Marilyn Hassett,Jill Kinmont Boothe,The Other Side of the Mountain,False
1975,Glenda Jackson,Hedda Gabler,Hedda,False
1976,Faye Dunaway,Diana Christensen,Network,True
1976,Glenda Jackson,Sarah Bernhardt,The Incredible Sarah,False
1976,Sarah Miles,Anne Osbourne,The Sailor Who Fell from Grace with the Sea,False
1976,Talia Shire,Adrian Pennino,Rocky,False
1976,Liv Ullmann,Dr. Jenny Isaksson,Face to Face,False
1977,Jane Fonda,Lillian Hellman,Julia,True
1977,Anne Bancroft,Emma Jacklin,The Turning Point,False
1977,Diane Keaton,Theresa Dunn,Looking for Mr. Goodbar,False
1977,Kathleen Quinlan,Deborah Blake,I Never Promised You a Rose Garden,False
1977,Gena Rowlands,Myrtle Gordon,Opening Night,False
1978,Jane Fonda,Sally Hyde,Coming Home,True
1978,Ingrid Bergman,Charlotte Andergast,Autumn Sonata,False
1978,Jill Clayburgh,Erica Benton,An Unmarried Woman,False
1978,Glenda Jackson,Stevie Smith,Stevie,False
1978,Geraldine Page,Eve,Interiors,False
1979,Sally Field,Norma Rae Webster,Norma Rae,True
1979,Jill Clayburgh,Caterina Silveri,La Luna,False
1979,Lisa Eichhorn,Jean Moreton,Yanks,False
1979,Jane Fonda,Kimberly Wells,The China Syndrome,False
1979,Marsha Mason,Dr. Alexandra Kendall,Promises in the Dark,False
1980,Mary Tyler Moore,Beth Jarrett,Ordinary People,True
1980,Ellen Burstyn,Edna Mae McCauley,Resurrection,False
1980,Nastassja Kinski,Tess Durbeyfield,Tess,False
1980,Deborah Raffin,Lena Canada,Touched by Love,False
1980,Gena Rowlands,Gloria Swenson,Gloria,False
1981,Meryl Streep,Sarah Woodruff / Anna,The French Lieutenant's Woman,True
1981,Sally Field,Megan Carter,Absence of Malice,False
1981,Katharine Hepburn,Ethel Thayer,On Golden Pond,False
1981,Diane Keaton,Louise Bryant,Reds,False
1981,Sissy Spacek,Nita Longley,Raggedy Man,False
1982,Meryl Streep,Sophie Zawistowski,Sophie's Choice,True
1982,Diane Keaton,Faith Dunlap,Shoot the Moon,False
1982,Jessica Lange,Frances Farmer,Frances,False
1982,Sissy Spacek,Beth Horman,Missing,False
1982,Debra Winger,Paula Pokrifki,An Officer and a Gentleman,False
1983,Shirley MacLaine,Aurora Greenway,Terms of Endearment,True
1983,Jane Alexander,Carol Amen,Testament,False
1983,Bonnie Bedelia,Shirley Roque,Heart Like a Wheel,False
1983,Meryl Streep,Karen Silkwood,Silkwood,False
1983,Debra Winger,Emma Greenway-Horton,Terms of Endearment,False
1984,Sally Field,Edna Spalding,Places in the Heart,True
1984,Diane Keaton,Kate Soffel,Mrs. Soffel,False
1984,Jessica Lange,Jewell Ivy,Country,False
1984,Vanessa Redgrave,Olive Chancellor,The Bostonians,False
1984,Sissy Spacek,Mae Garvey,The River,False
1985,Whoopi Goldberg,Celie Johnson,The Color Purple,True
1985,Anne Bancroft,Miriam Ruth,Agnes of God,False
1985,Cher,"Florence ""Rusty"" Dennis",Mask,False
1985,Geraldine Page,Carrie Watts,The Trip to Bountiful,False
1985,Meryl Streep,Karen Blixen,Out of Africa,False
1986,Marlee Matlin,Sarah Norman,Children of a Lesser God,True
1986,Julie Andrews,Stephanie Anderson,Duet for One,False
1986,Anne Bancroft,Thelma Cates,"'night, Mother",False
1986,Farrah Fawcett,Marjorie,Extremities,False
1986,Sigourney Weaver,Ellen Ripley,Aliens,False
1987,Sally Kirkland,Anna,Anna,True
1987,Rachel Chagall,"Gabriela ""Gaby"" Brimmer",Gaby: A True Story,False
1987,Glenn Close,Alex Forrest,Fatal Attraction,False
1987,Faye Dunaway,Wanda Wilcox,Barfly,False
1987,Barbra Streisand,Claudia Draper,Nuts,False
1988,Jodie Foster,Sarah Tobias,The Accused,True
1988,Shirley MacLaine,Madame Sousatzka,Madame Sousatzka,False
1988,Sigourney Weaver,Dian Fossey,Gorillas in the Mist,False
1988,Christine Lahti,Annie Pope / Cynthia Manfield,Running on Empty,False
1988,Meryl Streep,Lindy Chamberlain-Creighton,A Cry in the Dark,False
1989,Michelle Pfeiffer,Susie Diamond,The Fabulous Baker Boys,True
1989,Sally Field,M'Lynn Eatenton,Steel Magnolias,False
1989,Jessica Lange,Ann Talbot,Music Box,False
1989,Andie MacDowell,Ann Bishop Mullany,"Sex, Lies, and Videotape",False
1989,Liv Ullmann,Gabriele,The Rose Garden,False
1990,Kathy Bates,Annie Wilkes,Misery,True
1990,Anjelica Huston,Lilly Dillon,The Grifters,False
1990,Michelle Pfeiffer,Katya Orlova,The Russia House,False
1990,Susan Sarandon,Nora Baker,White Palace,False
1990,Joanne Woodward,India Bridge,Mr. and Mrs. Bridge,False
1991,Jodie Foster,Clarice Starling,The Silence of the Lambs,True
1991,Annette Bening,Virginia Hill,Bugsy,False
1991,Geena Davis,Thelma Dickinson,Thelma & Louise,False
1991,Laura Dern,Rose,Rambling Rose,False
1991,Susan Sarandon,Louise Sawyer,Thelma & Louise,False
1992,Emma Thompson,Margaret Schlegel,Howards End,True
1992,Mary McDonnell,May-Alice Culhane,Passion Fish,False
1992,Michelle Pfeiffer,Lurene Hallett,Love Field,False
1992,Susan Sarandon,Michaela Odone,Lorenzo's Oil,False
1992,Sharon Stone,Catherine Tramell,Basic Instinct,False
1993,Holly Hunter,Ada McGrath,The Piano,True
1993,Juliette Binoche,Julie de Courcy,Three Colours: Blue,False
1993,Michelle Pfeiffer,Ellen Olenska,The Age of Innocence,False
1993,Emma Thompson,Sally Kenton,The Remains of the Day,False
1993,Debra Winger,Martha Horgan,A Dangerous Woman,False
1994,Jessica Lange,Carly Marshall,Blue Sky,True
1994,Jodie Foster,Nell Kellty,Nell,False
1994,Jennifer Jason Leigh,Dorothy Parker,Mrs. Parker and the Vicious Circle,False
1994,Miranda Richardson,Vivienne Haigh-Wood Eliot,Tom & Viv,False
1994,Meryl Streep,Gail Hartman,The River Wild,False
1995,Sharon Stone,Ginger McKenna,Casino,True
1995,Susan Sarandon,Sister Helen Prejean,Dead Man Walking,False
1995,Elisabeth Shue,Sera,Leaving Las Vegas,False
1995,Meryl Streep,Francesca Johnson,The Bridges of Madison County,False
1995,Emma Thompson,Elinor Dashwood,Sense and Sensibility,False
1996,Brenda Blethyn,Cynthia Rose Purley,Secrets & Lies,True
1996,Courtney Love,Althea Leasure,The People vs. Larry Flynt,False
1996,Kristin Scott Thomas,Katharine Clifton,The English Patient,False
1996,Meryl Streep,Lee Wakefield Lacker,Marvin's Room,False
1996,Emily Watson,Bess McNeill,Breaking the Waves,False
1997,Judi Dench,Queen Victoria,Mrs Brown,True
1997,Helena Bonham Carter,Kate Croy,The Wings of the Dove,False
1997,Jodie Foster,Eleanor Arroway,Contact,False
1997,Jessica Lange,Ginny Cook Smith,A Thousand Acres,False
1997,Kate Winslet,Rose DeWitt Bukater,Titanic,False
1998,Cate Blanchett,Queen Elizabeth I,Elizabeth,True
1998,Fernanda Montenegro,"Isadora ""Dora"" Teixeira",Central Station,False
1998,Susan Sarandon,Jackie Harrison,Stepmom,False
1998,Meryl Streep,Kate Gulden,One True Thing,False
1998,Emily Watson,Jacqueline du Pré,Hilary and Jackie,False
1999,Hilary Swank,Brandon Teena,Boys Don't Cry,True
1999,Annette Bening,Carolyn Burnham,American Beauty,False
1999,Julianne Moore,Sarah Myles,The End of the Affair,False
1999,Meryl Streep,Roberta Guaspari,Music of the Heart,False
1999,Sigourney Weaver,Alice Goodwin,A Map of the World,False
2000,Julia Roberts,Erin Brockovich,Erin Brockovich,True
2000,Joan Allen,Laine Hanson,The Contender,False
2000,Björk,Selma Ježková,Dancer in the Dark,False
2000,Ellen Burstyn,Sara Goldfarb,Requiem for a Dream,False
2000,Laura Linney,"Samantha ""Sammy"" Prescott",You Can Count on Me,False
2001,Sissy Spacek,Ruth Fowler,In the Bedroom,True
2001,Halle Berry,Leticia Musgrove,Monster's Ball,False
2001,Judi Dench,Iris Murdoch,Iris,False
2001,Nicole Kidman,Grace Stewart,The Others,False
2001,Tilda Swinton,Margaret Hall,The Deep End,False
2002,Nicole Kidman,Virginia Woolf,The Hours,True
2002,Salma Hayek,Frida Kahlo,Frida,False
2002,Diane Lane,Connie Summer,Unfaithful,False
2002,Julianne Moore,Cathy Whitaker,Far from Heaven,False
2002,Meryl Streep,Clarissa Vaughan,The Hours,False
2003,Charlize Theron,Aileen Wuornos,Monster,True
2003,Cate Blanchett,Veronica Guerin,Veronica Guerin,False
2003,Scarlett Johansson,Griet Huller,Girl with a Pearl Earring,False
2003,Nicole Kidman,Ada Monroe,Cold Mountain,False
2003,Uma Thurman,Beatrix Kiddo,Kill Bill: Volume 1,False
2003,Evan Rachel Wood,Tracy Freeland,Thirteen,False
2004,Hilary Swank,Maggie Fitzgerald,Million Dollar Baby,True
2004,Scarlett Johansson,Pursy Will,A Love Song for Bobby Long,False
2004,Nicole Kidman,Anna Wicker,Birth,False
2004,Imelda Staunton,Vera Drake,Vera Drake,False
2004,Uma Thurman,Beatrix Kiddo,Kill Bill: Volume 2,False
2005,Felicity Huffman,Bree Osbourne,Transamerica,True
2005,Maria Bello,Edie Stall,A History of Violence,False
2005,Gwyneth Paltrow,Catherine Posey,Proof,False
2005,Charlize Theron,Josey Aimes,North Country,False
2005,Zhang Ziyi,Chiyo Sakamoto / Sayuri Nitta,Memoirs of a Geisha,False
2006,Helen Mirren,Queen Elizabeth II,The Queen,True
2006,Penélope Cruz,Raimunda,Volver,False
2006,Judi Dench,Barbara Covett,Notes on a Scandal,False
2006,Maggie Gyllenhaal,Sherry Swanson,Sherrybaby,False
2006,Kate Winslet,Sarah Pierce,Little Children,False
2007,Julie Christie,Fiona Anderson,Away from Her,True
2007,Cate Blanchett,Queen Elizabeth I,Elizabeth: The Golden Age,False
2007,Jodie Foster,Erica Bain,The Brave One,False
2007,Angelina Jolie,Mariane Pearl,A Mighty Heart,False
2007,Keira Knightley,Cecilia Tallis,Atonement,False
2008,Kate Winslet,April Wheeler,Revolutionary Road,True
2008,Anne Hathaway,Kym Bachman,Rachel Getting Married,False
2008,Angelina Jolie,Christine Collins,Changeling,False
2008,Kristin Scott Thomas,Juliette Fontaine,I've Loved You So Long,False
2008,Meryl Streep,Sister Aloysius Beauvier,Doubt,False
2009,Sandra Bullock,Leigh Anne Tuohy,The Blind Side,True
2009,Emily Blunt,Queen Victoria,The Young Victoria,False
2009,Helen Mirren,Sofya Tolstoy,The Last Station,False
2009,Carey Mulligan,Jenny Mellor,An Education,False
2009,Gabourey Sidibe,"Claireece ""Precious"" Jones",Precious,False
2010,Natalie Portman,Nina Sayers,Black Swan,True
2010,Halle Berry,Frankie / Genius / Alice,Frankie & Alice,False
2010,Nicole Kidman,Becca Corbett,Rabbit Hole,False
2010,Jennifer Lawrence,Ree Dolly,Winter's Bone,False
2010,Michelle Williams,Cindy Hiller,Blue Valentine,False
2011,Meryl Streep,Margaret Thatcher,The Iron Lady,True
2011,Glenn Close,Albert Nobbs,Albert Nobbs,False
2011,Viola Davis,Aibileen Clark,The Help,False
2011,Rooney Mara,Lisbeth Salander,The Girl with the Dragon Tattoo,False
2011,Tilda Swinton,Eva Khatchadourian,We Need to Talk About Kevin,False
2012,Jessica Chastain,Maya Harris,Zero Dark Thirty,True
2012,Marion Cotillard,Stéphanie,Rust and Bone,False
2012,Helen Mirren,Alma Reville,Hitchcock,False
2012,Naomi Watts,Maria Bennett,The Impossible,False
2012,Rachel Weisz,Hester Collyer,The Deep Blue Sea,False
2013,Cate Blanchett,"Jeanette ""Jasmine"" Francis",Blue Jasmine,True
2013,Sandra Bullock,Dr. Ryan Stone,Gravity,False
2013,Judi Dench,Philomena Lee,Philomena,False
2013,Emma Thompson,P. L. Travers,Saving Mr. Banks,False
2013,Kate Winslet,Adele Wheeler,Labor Day,False
2014,Julianne Moore,Dr. Alice Howland,Still Alice,True
2014,Jennifer Aniston,Claire Bennett,Cake,False
2014,Felicity Jones,Jane Hawking,The Theory of Everything,False
2014,Rosamund Pike,Amy Elliott-Dunne,Gone Girl,False
2014,Reese Witherspoon,Cheryl Strayed,Wild,False
2015,Brie Larson,"Joy ""Ma"" Newsome",Room,True
2015,Cate Blanchett,Carol Aird,Carol,False
2015,Rooney Mara,Therese Belivet,Carol,False
2015,Saoirse Ronan,Eilis Lacey,Brooklyn,False
2015,Alicia Vikander,Gerda Wegener,The Danish Girl,False
2016,Isabelle Huppert,Michèle Leblanc,Elle,True
2016,Amy Adams,Dr. Louise Banks,Arrival,False
2016,Jessica Chastain,Elizabeth Sloane,Miss Sloane,False
2016,Ruth Negga,Mildred Loving,Loving,False
2016,Natalie Portman,Jackie Kennedy,Jackie,False
2017,Frances McDormand,Mildred Hayes,"Three Billboards Outside Ebbing, Missouri",True
2017,Jessica Chastain,Molly Bloom,Molly's Game,False
2017,Sally Hawkins,Elisa Esposito,The Shape of Water,False
2017,Meryl Streep,Katharine Graham,The Post,False
2017,Michelle Williams,Gail Harris,All the Money in the World,False
2018,Glenn Close,Joan Castleman,The Wife,True
2018,Lady Gaga,Ally Maine,A Star Is Born,False
2018,Nicole Kidman,Erin Bell,Destroyer,False
2018,Melissa McCarthy,Lee Israel,Can You Ever Forgive Me?,False
2018,Rosamund Pike,Marie Colvin,A Private War,False
2019,Renée Zellweger,Judy Garland,Judy,True
2019,Cynthia Erivo,Harriet Tubman,Harriet,False
2019,Scarlett Johansson,Nicole Barber,Marriage Story,False
2019,Saoirse Ronan,"Josephine ""Jo"" March",Little Women,False
2019,Charlize Theron,Megyn Kelly,Bombshell,False
2020,Andra Day,Billie Holiday,The United States vs. Billie Holiday,True
2020,Viola Davis,Ma Rainey,Ma Rainey's Black Bottom,False
2020,Vanessa Kirby,Martha Weiss,Pieces of a Woman,False
2020,Frances McDormand,Fern,Nomadland,False
2020,Carey Mulligan,"Cassandra ""Cassie"" Thomas",Promising Young Woman,False
2021,Nicole Kidman,Lucille Ball,Being the Ricardos,True
2021,Jessica Chastain,Tammy Faye Bakker,The Eyes of Tammy Faye,False
2021,Olivia Colman,Leda Caruso,The Lost Daughter,False
2021,Lady Gaga,Patrizia Reggiani,House of Gucci,False
2021,Kristen Stewart,"Diana, Princess of Wales",Spencer,False
