year,actor,character,film,win
1990,Richard Gere,Edward Lewis,Pretty Woman,False
1990,Patrick Swayze,Sam Wheat,Ghost,False
1991,Robin Williams,"Henry ""Parry"" Sagan",The Fisher King,True
1991,Jeff Bridges,Jack Lucas,The Fisher King,False
1991,Billy Crystal,Mitch Robbins,City Slickers,False
1991,Dustin Hoffman,Captain Hook,Hook,False
1991,Kevin Kline,Jeffrey Anderson / Rod Randall,Soapdish,False
1992,Tim Robbins,Griffin Mill,The Player,True
1992,Nicolas Cage,Jack Singer,Honeymoon in Vegas,False
1992,Billy Crystal,Buddy Young Jr.,Mr. Saturday Night,False
1992,Marcello Mastroianni,Joe Meledandri,Used People,False
1992,Tim Robbins,Bob Roberts,Bob Roberts,False
1993,Robin Williams,Daniel Hillard / Mrs. Euphegenia Doubtfire,Mrs. Doubtfire,True
1993,Johnny Depp,Sam,Benny & Joon,False
1993,Tom Hanks,Sam Baldwin,Sleepless in Seattle,False
1993,Kevin Kline,Dave Kovic / Bill Mitchell,Dave,False
1993,Colm Meaney,Dessie Curley,The Snapper,False
1994,Hugh Grant,Charles,Four Weddings and a Funeral,True
1994,Jim Carrey,Stanley Ipkiss / The Mask,The Mask,False
1994,Johnny Depp,Ed Wood,Ed Wood,False
1994,Arnold Schwarzenegger,Alex Hesse,Junior,False
1994,Terence Stamp,Ralph / Bernadette Bassenger,"The Adventures of Priscilla, Queen of the Desert",False
1995,John Travolta,Chili Palmer,Get Shorty,True
1995,Michael Douglas,Andrew Shepherd,The American President,False
1995,Harrison Ford,Linus Larrabee,Sabrina,False
1995,Steve Martin,George Banks,Father of the Bride Part II,False
1995,Patrick Swayze,Vida Boheme,"To Wong Foo, Thanks for Everything! Julie Newmar",False
1996,Tom Cruise,Jerry Maguire,Jerry Maguire,True
1996,Antonio Banderas,Ché,Evita,False
1996,Kevin Costner,"Roy ""Tin Cup"" McAvoy",Tin Cup,False
1996,Nathan Lane,Albert Goldman,The Birdcage,False
